generation,best_fitness,avg_fitness,worst_fitness
1,10.3333,3.9733,3.0
2,14.0,4.41,3.0
3,12.3333,4.7,3.0
4,12.3333,5.58,3.0
5,11.3333,5.5233,3.0
6,15.0,5.2033,3.0
7,9.6667,5.1833,3.0
8,12.3333,5.8867,3.0
9,13.3333,5.62,3.0
10,11.0,5.9767,3.0
11,13.0,6.15,3.0
12,13.3333,6.3267,3.0
13,12.3333,6.1133,3.0
14,14.6667,6.1967,3.3333
15,13.6667,6.46,3.0
16,17.0,6.7933,3.0
17,12.6667,6.7633,3.0
18,16.3333,6.8333,3.0
19,13.6667,6.9,3.0
20,16.3333,7.1033,3.0
21,13.6667,7.4367,3.3333
22,14.3333,7.2,3.3333
23,16.0,6.7633,3.0
24,15.0,7.5233,3.0
25,11.6667,7.03,3.0
26,14.0,6.71,3.3333
27,13.6667,7.2167,3.0
28,13.6667,6.97,3.0
29,12.3333,6.8167,3.0
30,13.0,7.07,3.3333
31,15.3333,7.04,3.0
32,15.6667,7.5567,3.0
33,18.3333,7.5133,3.0
34,15.6667,7.9967,3.3333
35,13.3333,7.6933,3.0
36,15.0,8.1533,3.3333
37,15.3333,7.9267,3.0
38,15.0,7.9433,3.0
39,12.6667,7.2233,3.3333
40,16.3333,7.6267,3.3333
41,13.0,7.39,3.0
42,15.0,7.89,3.3333
43,13.3333,7.54,3.0
44,16.3333,7.8,3.0
45,16.0,7.51,3.0
46,14.6667,7.67,3.0
47,13.0,7.61,3.3333
48,14.6667,7.4233,3.3333
49,13.6667,7.3633,3.0
50,17.0,7.7167,3.3333
51,13.0,7.83,3.3333
52,14.6667,7.7033,3.0
53,14.3333,8.1133,3.6667
54,13.3333,7.96,3.0
55,15.0,8.0833,3.0
56,13.6667,7.9867,3.6667
57,15.3333,7.6533,3.3333
58,12.6667,7.9033,4.0
59,16.3333,8.1033,3.3333
60,13.6667,8.0033,3.3333
61,14.6667,8.08,3.3333
62,14.0,7.7367,3.3333
63,14.3333,7.6167,4.3333
64,15.3333,8.0667,3.0
65,15.3333,8.0533,3.3333
66,16.3333,8.33,3.3333
67,14.3333,7.9233,3.0
68,17.6667,8.3,3.6667
69,16.0,8.0967,3.6667
70,14.6667,8.1767,4.0
71,14.6667,7.7267,3.6667
72,17.3333,7.56,3.3333
73,14.0,6.9967,3.0
74,13.6667,7.65,3.6667
75,15.0,7.5767,3.3333
76,14.6667,7.4533,3.0
77,14.3333,8.0067,3.0
78,15.0,7.7467,3.6667
79,17.0,7.8733,3.3333
80,14.3333,7.8933,3.0
81,14.6667,8.3267,3.0
82,16.0,8.02,3.6667
83,14.3333,8.4333,4.0
84,15.3333,8.3267,3.6667
85,13.6667,8.64,3.3333
86,16.6667,8.08,3.3333
87,14.3333,8.5933,3.6667
88,16.6667,8.7667,3.6667
89,14.6667,8.0267,3.0
90,15.6667,8.5267,3.0
91,14.3333,8.6267,3.6667
92,16.6667,8.5433,3.0
93,14.3333,8.5833,3.0
94,15.0,9.0867,3.3333
95,15.0,8.48,3.3333
96,16.3333,8.7567,3.6667
97,14.3333,9.0,4.3333
98,13.6667,8.6167,3.6667
99,14.6667,8.32,3.6667
100,17.0,8.6533,3.6667
101,15.0,9.1433,4.6667
102,14.0,8.7167,3.3333
103,13.6667,8.6567,4.0
104,16.0,8.21,3.3333
105,14.6667,8.5167,3.3333
106,15.3333,8.23,3.0
107,15.6667,8.4333,3.0
108,15.6667,8.89,3.3333
109,17.6667,8.2,3.3333
110,18.6667,8.8433,4.3333
111,16.3333,8.58,4.0
112,15.6667,8.6733,3.3333
113,15.3333,9.2667,3.6667
114,18.3333,9.1467,4.0
115,14.6667,9.06,4.0
116,15.0,9.0033,3.6667
117,16.0,9.16,3.3333
118,14.3333,8.8367,3.3333
119,15.6667,8.6067,3.3333
120,14.0,8.81,3.3333
121,14.3333,8.45,3.3333
122,15.0,8.57,4.0
123,16.3333,8.9767,3.3333
124,14.3333,8.3567,4.0
125,13.3333,8.4067,3.6667
126,16.0,8.5733,3.6667
127,15.0,8.9267,3.6667
128,16.6667,8.6667,3.3333
129,17.3333,8.92,3.6667
130,16.0,8.6533,3.3333
131,15.3333,8.43,3.3333
132,15.0,8.6033,4.0
133,16.6667,8.7633,3.6667
134,15.6667,8.79,3.6667
135,14.6667,8.81,3.3333
136,16.0,8.8967,3.0
137,15.3333,9.1933,3.3333
138,14.3333,8.6667,3.6667
139,16.3333,8.6467,3.0
140,15.0,8.6833,4.3333
141,16.0,8.7267,3.6667
142,15.3333,8.8467,4.6667
143,15.3333,8.7867,3.3333
144,13.6667,8.9,3.6667
145,16.0,9.15,3.6667
146,16.0,8.9833,3.6667
147,18.3333,8.69,4.0
148,14.0,8.8767,3.0
149,14.6667,9.15,3.6667
150,18.6667,8.98,3.3333
151,16.6667,9.13,3.6667
152,16.3333,8.9667,4.3333
153,16.6667,9.12,3.6667
154,17.6667,8.5533,3.6667
155,16.3333,9.1267,3.3333
156,14.0,8.6833,3.6667
157,15.6667,8.7767,3.3333
158,16.6667,9.4233,4.0
159,15.0,9.4767,3.6667
160,16.3333,8.9233,3.6667
161,17.0,9.3467,4.3333
162,17.0,9.2933,4.3333
163,14.6667,9.2933,4.6667
164,15.3333,9.4067,3.3333
165,15.6667,9.3433,3.3333
166,19.3333,9.26,3.6667
167,19.0,9.6467,4.3333
168,16.3333,9.3067,4.6667
169,13.3333,9.02,3.3333
170,16.3333,9.79,3.6667
